time,value,top,bot,time_step,L_value,next_value
0.030302,0.5317389,1.0,0.0,5e-07,1e-2,0.53221226
0.0303025,0.53221226,1.0,0.0,5e-07,1e-2,0.53268564
0.030303,0.53268564,1.0,0.0,5e-07,1e-2,0.533159
0.0303035,0.533159,1.0,0.0,5e-07,1e-2,0.53363234
0.030304,0.53363234,1.0,0.0,5e-07,1e-2,0.5341056
0.0303045,0.5341056,1.0,0.0,5e-07,1e-2,0.5345789
0.030305,0.5345789,1.0,0.0,5e-07,1e-2,0.5350522
0.0303055,0.5350522,1.0,0.0,5e-07,1e-2,0.5355254
0.030306,0.5355254,1.0,0.0,5e-07,1e-2,0.53599864
0.0303065,0.53599864,1.0,0.0,5e-07,1e-2,0.5364718
0.030307,0.5364718,1.0,0.0,5e-07,1e-2,0.536945
0.0303075,0.536945,1.0,0.0,5e-07,1e-2,0.5374181
0.030308,0.5374181,1.0,0.0,5e-07,1e-2,0.5378912
0.0303085,0.5378912,1.0,0.0,5e-07,1e-2,0.5383643
0.030309,0.5383643,1.0,0.0,5e-07,1e-2,0.5388374
0.0303095,0.5388374,1.0,0.0,5e-07,1e-2,0.53931046
0.03031,0.53931046,1.0,0.0,5e-07,1e-2,0.5397835
0.0303105,0.5397835,1.0,0.0,5e-07,1e-2,0.54025644
0.030311,0.54025644,1.0,0.0,5e-07,1e-2,0.54072946
0.0303115,0.54072946,1.0,0.0,5e-07,1e-2,0.54120237
0.030312,0.54120237,1.0,0.0,5e-07,1e-2,0.5416753
0.0303125,0.5416753,1.0,0.0,5e-07,1e-2,0.54214823
0.030313,0.54214823,1.0,0.0,5e-07,1e-2,0.5426211
0.0303135,0.5426211,1.0,0.0,5e-07,1e-2,0.543094
0.030314,0.543094,1.0,0.0,5e-07,1e-2,0.54356676
0.0303145,0.54356676,1.0,0.0,5e-07,1e-2,0.5440396
0.030315,0.5440396,1.0,0.0,5e-07,1e-2,0.5445124
0.0303155,0.5445124,1.0,0.0,5e-07,1e-2,0.5449852
0.030316,0.5449852,1.0,0.0,5e-07,1e-2,0.5454579
0.0303165,0.5454579,1.0,0.0,5e-07,1e-2,0.5459306
0.030317,0.5459306,1.0,0.0,5e-07,1e-2,0.5464033
0.0303175,0.5464033,1.0,0.0,5e-07,1e-2,0.54687595
0.030318,0.54687595,1.0,0.0,5e-07,1e-2,0.5473486
0.0303185,0.5473486,1.0,0.0,5e-07,1e-2,0.5478212
0.030319,0.5478212,1.0,0.0,5e-07,1e-2,0.5482938
0.0303195,0.5482938,1.0,0.0,5e-07,1e-2,0.5487664
0.03032,0.5487664,1.0,0.0,5e-07,1e-2,0.5492389
0.0303205,0.5492389,1.0,0.0,5e-07,1e-2,0.54971147
0.030321,0.54971147,1.0,0.0,5e-07,1e-2,0.55018395
0.0303215,0.55018395,1.0,0.0,5e-07,1e-2,0.55065644
0.030322,0.55065644,1.0,0.0,5e-07,1e-2,0.5511289
0.0303225,0.5511289,1.0,0.0,5e-07,1e-2,0.55160135
0.030323,0.55160135,1.0,0.0,5e-07,1e-2,0.5520738
0.0303235,0.5520738,1.0,0.0,5e-07,1e-2,0.55254614
0.030324,0.55254614,1.0,0.0,5e-07,1e-2,0.5530185
0.0303245,0.5530185,1.0,0.0,5e-07,1e-2,0.5534908
0.030325,0.5534908,0.0,0.0,5e-07,1e-2,0.55366796
0.0303255,0.55366796,0.0,0.0,5e-07,1e-2,0.5528105
0.030326,0.5528105,0.0,1.0,5e-07,1e-2,0.55228287
0.0303265,0.55228287,0.0,1.0,5e-07,1e-2,0.55175525
0.030327,0.55175525,0.0,1.0,5e-07,1e-2,0.5512277
0.0303275,0.5512277,0.0,1.0,5e-07,1e-2,0.5507001
0.030328,0.5507001,0.0,1.0,5e-07,1e-2,0.5501726
0.0303285,0.5501726,0.0,1.0,5e-07,1e-2,0.5496451
0.030329,0.5496451,0.0,1.0,5e-07,1e-2,0.5491176
0.0303295,0.5491176,0.0,1.0,5e-07,1e-2,0.5485902
0.03033,0.5485902,0.0,1.0,5e-07,1e-2,0.5480628
0.0303305,0.5480628,0.0,1.0,5e-07,1e-2,0.5475354
0.030331,0.5475354,0.0,1.0,5e-07,1e-2,0.54700804
0.0303315,0.54700804,0.0,1.0,5e-07,1e-2,0.5464807
0.030332,0.5464807,0.0,1.0,5e-07,1e-2,0.5459534
0.0303325,0.5459534,0.0,1.0,5e-07,1e-2,0.54542613
0.030333,0.54542613,0.0,1.0,5e-07,1e-2,0.54489887
0.0303335,0.54489887,0.0,1.0,5e-07,1e-2,0.5443716
0.030334,0.5443716,0.0,1.0,5e-07,1e-2,0.5438444
0.0303345,0.5438444,0.0,1.0,5e-07,1e-2,0.54331726
0.030335,0.54331726,0.0,1.0,5e-07,1e-2,0.54279006
0.0303355,0.54279006,0.0,1.0,5e-07,1e-2,0.542263
0.030336,0.542263,0.0,1.0,5e-07,1e-2,0.5417358
0.0303365,0.5417358,0.0,1.0,5e-07,1e-2,0.5412088
0.030337,0.5412088,0.0,1.0,5e-07,1e-2,0.5406817
0.0303375,0.5406817,0.0,1.0,5e-07,1e-2,0.5401547
0.030338,0.5401547,0.0,1.0,5e-07,1e-2,0.53962773
0.0303385,0.53962773,0.0,1.0,5e-07,1e-2,0.53910077
0.030339,0.53910077,0.0,1.0,5e-07,1e-2,0.5385738
0.0303395,0.5385738,0.0,1.0,5e-07,1e-2,0.5380469
0.03034,0.5380469,0.0,1.0,5e-07,1e-2,0.53752
0.0303405,0.53752,0.0,1.0,5e-07,1e-2,0.53699315
0.030341,0.53699315,0.0,1.0,5e-07,1e-2,0.5364663
0.0303415,0.5364663,0.0,1.0,5e-07,1e-2,0.5359395
0.030342,0.5359395,0.0,1.0,5e-07,1e-2,0.5354127
0.0303425,0.5354127,0.0,1.0,5e-07,1e-2,0.53488594
0.030343,0.53488594,0.0,1.0,5e-07,1e-2,0.5343592
0.0303435,0.5343592,0.0,1.0,5e-07,1e-2,0.5338325
0.030344,0.5338325,0.0,1.0,5e-07,1e-2,0.5333058
0.0303445,0.5333058,0.0,1.0,5e-07,1e-2,0.53277916
0.030345,0.53277916,0.0,1.0,5e-07,1e-2,0.53225255
0.0303455,0.53225255,0.0,1.0,5e-07,1e-2,0.53172594
0.030346,0.53172594,0.0,1.0,5e-07,1e-2,0.5311994
0.0303465,0.5311994,0.0,1.0,5e-07,1e-2,0.53067285
0.030347,0.53067285,0.0,1.0,5e-07,1e-2,0.5301463
0.0303475,0.5301463,0.0,1.0,5e-07,1e-2,0.5296198
0.030348,0.5296198,0.0,1.0,5e-07,1e-2,0.5290934
0.0303485,0.5290934,0.0,1.0,5e-07,1e-2,0.5285669
0.030349,0.5285669,0.0,1.0,5e-07,1e-2,0.52804047
0.0303495,0.52804047,0.0,1.0,5e-07,1e-2,0.5275141
0.03035,0.5275141,0.0,1.0,5e-07,1e-2,0.52698773
0.0303505,0.52698773,0.0,1.0,5e-07,1e-2,0.5264614
0.030351,0.5264614,0.0,1.0,5e-07,1e-2,0.5259351
0.0303515,0.5259351,0.0,1.0,5e-07,1e-2,0.5254088
0.030352,0.5254088,0.0,1.0,5e-07,1e-2,0.52488256
0.0303525,0.52488256,0.0,1.0,5e-07,1e-2,0.5243563
0.030353,0.5243563,0.0,1.0,5e-07,1e-2,0.5238301
0.0303535,0.5238301,0.0,1.0,5e-07,1e-2,0.5233039
0.030354,0.5233039,0.0,1.0,5e-07,1e-2,0.5227778
0.0303545,0.5227778,0.0,1.0,5e-07,1e-2,0.52225167
0.030355,0.52225167,0.0,1.0,5e-07,1e-2,0.5217256
0.0303555,0.5217256,0.0,1.0,5e-07,1e-2,0.5211995
0.030356,0.5211995,0.0,1.0,5e-07,1e-2,0.52067345
0.0303565,0.52067345,0.0,1.0,5e-07,1e-2,0.52014744
0.030357,0.52014744,0.0,1.0,5e-07,1e-2,0.51962143
0.0303575,0.51962143,0.0,1.0,5e-07,1e-2,0.5190955
0.030358,0.5190955,0.0,1.0,5e-07,1e-2,0.5185695
