Time,Iout,IGBT Leg1.PWM_Modulator.TOP_1,IGBT Leg1.PWM_Modulator.BOT_1
0.0428705,0.63858944,0.0,1.0
0.042871,0.63327146,0.0,1.0
0.0428715,0.62795615,0.0,0.0
0.042872,0.62264353,0.0,0.0
0.0428725,0.61733353,1.0,0.0
0.042873,0.61461353,1.0,0.0
0.0428735,0.62159216,1.0,0.0
0.042874,0.6262802,1.0,0.0
0.0428745,0.6309659,1.0,0.0
0.042875,0.6356492,1.0,0.0
0.0428755,0.6403302,1.0,0.0
0.042876,0.64500886,1.0,0.0
0.0428765,0.6496852,1.0,0.0
0.042877,0.6543592,1.0,0.0
0.0428775,0.65903085,1.0,0.0
0.042878,0.66370016,1.0,0.0
0.0428785,0.66836715,1.0,0.0
0.042879,0.6730318,1.0,0.0
0.0428795,0.67769414,1.0,0.0
0.04288,0.6823541,1.0,0.0
0.0428805,0.6870118,1.0,0.0
0.042881,0.6916671,1.0,0.0
0.0428815,0.6963201,1.0,0.0
0.042882,0.70097077,1.0,0.0
0.0428825,0.7056191,1.0,0.0
0.042883,0.71026516,1.0,0.0
0.0428835,0.71490884,1.0,0.0
0.042884,0.71955025,1.0,0.0
0.0428845,0.72418934,1.0,0.0
0.042885,0.72882605,1.0,0.0
0.0428855,0.7334605,1.0,0.0
0.042886,0.7380926,1.0,0.0
0.0428865,0.7427224,1.0,0.0
0.042887,0.74734986,1.0,0.0
0.0428875,0.75197506,1.0,0.0
0.042888,0.7565979,1.0,0.0
0.0428885,0.7612184,1.0,0.0
0.042889,0.76583666,1.0,0.0
0.0428895,0.7704526,1.0,0.0
0.04289,0.77506626,1.0,0.0
0.0428905,0.77967757,1.0,0.0
0.042891,0.78428656,1.0,0.0
0.0428915,0.7888933,1.0,0.0
0.042892,0.7934977,1.0,0.0
0.0428925,0.79809976,1.0,0.0
0.042893,0.80269957,1.0,0.0
0.0428935,0.80729705,1.0,0.0
0.042894,0.8118923,1.0,0.0
0.0428945,0.81648517,1.0,0.0
0.042895,0.8210758,1.0,0.0
0.0428955,0.8256641,1.0,0.0
0.042896,0.83025014,1.0,0.0
0.0428965,0.83483386,1.0,0.0
0.042897,0.8394153,1.0,0.0
0.0428975,0.84399444,1.0,0.0
0.042898,0.8485713,1.0,0.0
0.0428985,0.85314584,1.0,0.0
0.042899,0.85771817,1.0,0.0
0.0428995,0.8622881,1.0,0.0
0.0429,0.86685586,1.0,0.0
0.0429005,0.8714213,1.0,0.0
0.042901,0.87598443,1.0,0.0
0.0429015,0.8805453,1.0,0.0
0.042902,0.8851039,1.0,0.0
0.0429025,0.8896602,1.0,0.0
0.042903,0.8942142,1.0,0.0
0.0429035,0.898766,1.0,0.0
0.042904,0.9033155,1.0,0.0
0.0429045,0.90786266,1.0,0.0
0.042905,0.9124076,1.0,0.0
0.0429055,0.9169503,1.0,0.0
0.042906,0.92149067,1.0,0.0
0.0429065,0.9260288,1.0,0.0
0.042907,0.93056464,1.0,0.0
0.0429075,0.93509823,1.0,0.0
0.042908,0.93962955,1.0,0.0
0.0429085,0.94415855,1.0,0.0
0.042909,0.94868535,1.0,0.0
0.0429095,0.9532099,1.0,0.0
0.04291,0.95773214,1.0,0.0
0.0429105,0.96225214,1.0,0.0
0.042911,0.96676993,1.0,0.0
0.0429115,0.9712854,1.0,0.0
0.042912,0.9757986,1.0,0.0
0.0429125,0.9803096,1.0,0.0
0.042913,0.98481834,1.0,0.0
0.0429135,0.98932475,1.0,0.0
0.042914,0.993829,1.0,0.0
0.0429145,0.99833095,1.0,0.0
0.042915,1.0028306,1.0,0.0
0.0429155,1.0073282,1.0,0.0
0.042916,1.0118233,1.0,0.0
0.0429165,1.0163163,1.0,0.0
0.042917,1.020807,1.0,0.0
0.0429175,1.0252955,1.0,0.0
0.042918,1.0297817,1.0,0.0
0.0429185,1.0342658,1.0,0.0
0.042919,1.0387474,1.0,0.0
0.0429195,1.043227,1.0,0.0
0.04292,1.0477042,1.0,0.0
0.0429205,1.0521792,1.0,0.0
0.042921,1.0566521,1.0,0.0
0.0429215,1.0611227,1.0,0.0
0.042922,1.065591,1.0,0.0
0.0429225,1.070057,1.0,0.0
