csv_path,L,C,Lg,Vin,Vs1,Time step,MAE,MARE,MAXRE
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=4e+02_time_step_5e-07.csv,0.001,0.001,0.001,100.0,400.0,5e-07,3.498002052307129,0.0018647046526893,13.629262924194336
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=5e+02_time_step_2e-06.csv,0.001,0.001,0.001,100.0,500.0,2e-06,9.13597838083903,0.0057707852683961,43.94519805908203
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=5e+02_time_step_5e-06.csv,0.001,0.001,0.001,100.0,500.0,5e-06,22.571653366088867,0.0111368410289287,7.680221080780029
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=1e+02_Vs1=5e+02_time_step_5e-07.csv,0.001,0.001,0.001,100.0,500.0,5e-07,3.628737131754557,0.0020037607755512,14.16740608215332
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=2e+02_Vs1=1e+02_time_step_2e-06.csv,0.001,0.001,0.001,200.0,100.0,2e-06,8.95875612894694,0.0056688711047172,42.01390838623047
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=2e+02_Vs1=1e+02_time_step_5e-06.csv,0.001,0.001,0.001,200.0,100.0,5e-06,22.491180419921875,0.0111560309305787,7.542654991149902
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=2e+02_Vs1=1e+02_time_step_5e-07.csv,0.001,0.001,0.001,200.0,100.0,5e-07,3.193177938461304,0.0015586544759571,12.23741054534912
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=2e+02_Vs1=2e+02_time_step_2e-06.csv,0.001,0.001,0.001,200.0,200.0,2e-06,9.003868103027344,0.0056946412660181,42.5533447265625
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=2e+02_Vs1=2e+02_time_step_5e-06.csv,0.001,0.001,0.001,200.0,200.0,5e-06,22.511803309122723,0.0111483437940478,7.581131935119629
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=2e+02_Vs1=2e+02_time_step_5e-07.csv,0.001,0.001,0.001,200.0,200.0,5e-07,3.30511752764384,0.0016684997826814,12.776413917541504
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=2e+02_Vs1=3e+02_time_step_2e-06.csv,0.001,0.001,0.001,200.0,300.0,2e-06,9.05257765452067,0.0057225194759666,43.09278106689453
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=2e+02_Vs1=3e+02_time_step_5e-06.csv,0.001,0.001,0.001,200.0,300.0,5e-06,22.533918380737305,0.0111431377008557,7.619455337524414
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=2e+02_Vs1=3e+02_time_step_5e-07.csv,0.001,0.001,0.001,200.0,300.0,5e-07,3.424985329310099,0.0017851333832368,13.315848350524902
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=2e+02_Vs1=4e+02_time_step_2e-06.csv,0.001,0.001,0.001,200.0,400.0,2e-06,9.104348500569662,0.0057522393763065,43.63178634643555
new_3ph_inv_L=1e-03_C=1e-03_Lg=1e-03_V=2e+02_Vs1=4e+02_time_step_5e-06.csv,0.001,0.001,0.001,200.0,400.0,5e-06,22.557275136311848,0.011138942092657,7.657901763916016
